gispropnum,q1,q2,q3,q4,budsum
Q246,20,0,0,0,20
Q123,406,21,0,542,969
X006,84,74,0,0,158
B375,239,642,150,0,1031
B223NB,31,150,8,99,288
X300,101,139,28,275,543
M385,115,678,58,758,1609
R020,611,0,0,29,640
X148C1,150,214,4,278,646
B036,0,764,28,0,792
Q151,0,0,0,0,0
M036,0,0,0,0,0
Q217,0,26,0,52,78
M125B,29,186,40,128,383
B227,26,0,0,0,26
B255M,88,81,0,137,306
B148,70,558,354,1910,2892
Q061,251,0,0,134,385
B116,0,186,0,0,186
X022,119,187,806,249,1361
M208C,0,103,48,300,451
B223QB,0,0,0,83,83
B206,8312,5,65,133,8515
Q084B,0,0,0,0,0
X302,120,174,42,187,523
Q316,0,0,0,45,45
M012,57,394,0,90,541
B182,0,0,0,0,0
Q281,0,0,0,0,0
M123,24,42,0,20,86
B223PD,28,0,0,90,118
X282,74,636,0,421,1131
Q360G,0,134,0,107,241
X148K3,0,0,160,14,174
X267,11,135,0,264,410
B223NC,50,696,0,52,798
Q084A,617,0,0,0,617
M138,56,145,28,100,329
X064,1805,19,186,72,2082
M016,190,445,621,126,1382
Q139,40,0,0,0,40
X077,152,0,28,144,324
X264,2,376,49,14,441
M288,19,115,58,265,457
Q360Q,52,0,167,0,219
M188,50,5,10,15,80
R004,2125,52,0,146,2323
X018,10,0,46,11,67
Q494,0,976,0,0,976
Q360E,0,0,0,212,212
B430,0,77,59,142,278
M180,1320,461,49,349,2179
X063,30,107,29,62,228
B356,46,50,207,105,408
Q275,0,0,0,22,22
M378,183,282,32,983,1480
B240,54,119,0,40,213
B190,59,28,0,0,87
X005,71,465,127,42,705
M207,0,23,289,627,939
X148D1,135,47,34,267,483
B024,0,0,0,0,0
Q277,14,0,0,0,14
B030,0,0,0,0,0
M122,15,174,10,92,291
M020,98,49,74,109,330
B366,0,383,14,14,411
M032,29,102,0,0,131
X107,0,152,0,230,382
Q209,10,0,0,0,10
B171,28,28,0,0,56
X079,126,37,13,0,176
B223QC,2,28,0,7,37
Q116,45,0,40,0,85
X148K4,0,0,30,49,79
